,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Python,C,Tensorflow,Java,Linux,Spark,Hadoop
20,人工智能家居测试工程师,人工智能,5250.0,海口棕海项目建设投资有限公司,深圳,0.0,大专,职位信息1、年龄在21-30岁，大专及以上学历，专业不限。2、熟练使用相关办公软件，具备基本的互联网知识。3、对互联网行业感兴趣，并有志在该行业发展。4、负责公司智能家居后台控制软件的测试与更新测试工作。5、对智能家居软件方面提出问题、整改方案等。6、可接受转行求职人员，但需要面试筛选、考核通过。薪资待遇1、试用期2个月，无责任底薪4500起，加项目提成。2、对于初来深圳的毕业生，公司能提供住宿。3、享受法定休假，公司实行7小时工作制。工作时间:09：00至6:00(周末双休)，法定节假日照常休息。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,人工智能市场营销经理,人工智能,17500.0,深圳同方以衡基金管理有限公司,厦门,2.0,本科,"工作职责：1、结合公司业务发展目标,策划人工智能产品市场拓展方案，参与营销管理；2、拓展、维护新老客户，挖掘公司产品合作机会，了解客户需求，为客户提供服务方案，制定合作方案、达成合作；3、建立与客户良好的双向沟通机制和长期合作关系；4、跟进项目执行情况，有效评估产品，了解客户需求。与开发部门合作，快速响应客户需求，并根据产品实际使用情况，提供产品升级迭代建议；5、协助公司领导完成其他市场推广工作。岗位要求：1、全日制本科及以上学历，财务学、会计学、金融学、计算机等相关专业，复合专业背景优先；2、熟悉金融财务行业，2年以上工作经验，有wind、金蝶、用友等金融数据和财务分析公司任职经验者优先；3、性格乐观开朗，团队合作意识强；具有快速学习能力、沟通协调能力，逻辑思路清晰，具备较强谈判能力及数据分析能力； 4、能够承受较大工作压力，能接受出差，能力优秀者薪资从优。",0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,人工智能研发工程师,人工智能,11500.0,南京新一代人工智能研究院有限公司,南京,2.0,本科,、从事AI算法相关的技术、应用和产业研究工作，进行标准制定、行业研究、评估测试、安全评测等工作； 2、负责搭建AI实验环境平台，并开展AI软件、平台、上层应用等测试工作； 3、支撑部委及地方政府，撰写相关政策及报告；  4、参加国际、国内标准会议，制定评估评测、产品和服务的性能、功能等标准。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,人工智能专家,人工智能,45000.0,四川伯乐帮科技有限公司,成都,5.0,本科,岗位职责：1. 制定人工智能方向尤其是数据智能处理与融合技术、项目与产品发展规划，组建技术团队；2. 根据研发需求，负责图像等模式识别、机器学习算法的确立、改进和优化；3. 人工智能相关的其他研发工作。岗位要求：1. 硕士以上学历，计算机、数学等相关专业，精通图像处理或机器学习技术；2. 熟练C/C++、Java、Python等相关程序设计语言，能熟练使用SQL语句；3. 具备优异的数据结构和算法基础，能够对算法进行验证和实现；4. 具有较强的沟通交流能力，分析问题和解决问题的能力，工作有激情，能承受压力；5. 责任感强，认同公司文化及价值观，愿与公司同发展。,1.0,1.0,0.0,1.0,0.0,0.0,0.0
24,Python人工智能,人工智能,7000.0,深圳市文言科技发展有限公司,深圳,0.0,大专,　　岗位职责：　　1. 负责强化学习、深度学习人工智能数学模型研究、算法实现及优化;　　2. 跟踪人工智能技术和算法的前沿技术;　　3. 深度了解机器学习算法模型构建和算法实现及应用场景，输出可落地的应用场景解决方案。　　岗位要求：　　1. 大专及以上学历，数学、物理、计算机等相关专业;　　2. 精通Python、Java等至少一种编程语言，熟悉Linux平台和开发环境;　　3 熟悉常用的机器学习算法，了解不同模型的特性，具有运用高级数学模型进行综合大数据分析的能力;　　4. 熟悉SQL语言，熟悉至少一种开源大数据相关数据库系统; 　　5. 具有强烈的责任心和钻研精神，以及团队协作精神。,1.0,0.0,0.0,1.0,1.0,0.0,0.0
25,人工智能算法工程师,人工智能,12000.0,哈工大机器人（扬州）科创中心,扬州,0.0,硕士,岗位职责：1、利用图像处理、模式识别、机器学习、深度学习、强化学习等解决相关业务问题(及其文档、汇总工作)；2、能够有独立处理和解决所负责的任务的能力，思路清晰；3、能够承受一定工作压力，具有良好的团队协作精神；4、能够承受一段时间的异地出差，进行客户现场处置工作。任职要求：1、应用数学、计算机科学、软件工程等相关专业，有图像处理、机器学习或深度学习研究背景；全日制硕士研究生及以上学历；2、熟悉常见的图像处理算法、机器学习算法、深度学习框架或数据挖掘算法；3、熟练掌握一种以上的主流编程语言，具有良好的编程能力，熟练使用matlab、C/C++、Java、OpenGL或Python等软件一种或多种；4、英语CET-4及以上，能够熟练查阅英文文献资料；5、具备极强的学习能力和对新技术的敏感度，具有较强的团队合作意识和精神；6、有深度学习研究经历，在图像处理、计算机视觉或机器学习领域发表过高质量论文的优先考虑。,1.0,1.0,0.0,1.0,0.0,0.0,0.0
26,k12人工智能夏令营负责人,人工智能,9000.0,福建数联慧科信息科技有限公司,福州,0.0,无,工作内容:1、主要教授6-12岁少儿K12人工智能课程，培养孩子动手能力和理科思维；2、负责孩子课程的安排与跟进，帮助孩子提高学习兴趣；3、构建与家长的和谐关系，及时进行教学反馈；4、参加教务工作，汇报学员的学习情况；5、参与入营前的准备工作配合与协助，对接院校相关负责人。上台授课并宣讲。任职要求：1、有2年以上青少年教育相关工作经历，有爱心、责任心，应变能力强，有活动组织能力与领导力2、对K12教育，人工智能有一定的了解3、性格开朗、有创造力，普通话标准4、适度在营期孩子的生活起居，及时收集孩子意见，与孩子交流。培养孩子独立生活的能力,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,大数据人工智能助理+五险一金,人工智能,5250.0,河南弥乐文化传播有限公司,郑州,0.0,高中,任职资格：1、有志在IT行业或“互联网+”相关领域发展2、18-30岁之间，高中及以上学历，专业不限。3、有良好的沟通能力，做事踏实、认真。4、悟性高、学习能力强、逻辑思维活跃。5、会简单的计算机操作，有无经验均可岗位要求：1、18-30岁，高中及以上学历。2.责任心强，有良好的团队精神和亲和力3.懂办公软件操作，有意向长期往技术方向发展4.能吃苦、学习能力强，做事积极、细心福利待遇：1.周末双休；2.五险一金，优于行业水平的薪资+绩效奖金；3.一年一到两次的加薪机会；4.高于法定规定的超长带薪休假；5.广阔的晋升空间，公司将向每个员工提供均等的晋升机会。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,人工智能算法工程师(初中高级),人工智能,20000.0,上海网达软件股份有限公司,上海,2.0,本科,岗位要求： 1.  熟悉常用机器学习算法如特征工程，随机森林，gbdt，xgboost，lightgbm；NLP相关基本模型如 n-gram，word2vec，HMM，命名实体识别，主题模型；2. 熟悉基本深度学习模型CNN，LSTM/GRU，seq2seq等，有深度学习实战经验，熟悉深度学习开源框架如tensorflow，pytorc； 3.Python基础扎实，有python web开发经验者优先；4. 在人脸识别、声纹识别，图像识别，文本处理，知识抽取，知识图谱，问答系统等一个或多个领域有行业应用经验者优先。 初级岗： 1.本科及以上学历(必须通过学信网认证)，计算机类，数学类，物理类等相关专业； 2.二年以上相关工作经验。 中级岗： 1.硕士及以上学历(必须通过学信网认证)，计算机类，数学类，物理类等相关专业； 2.三年以上相关工作经验。高级岗： 1.硕士及以上学历(必须通过学信网认证)，计算机类，数学类，物理类等相关专业； 2.五年以上相关工作经验； 3.在相关国际会议或主流期刊上发表论文者优先。,1.0,0.0,1.0,0.0,0.0,0.0,0.0
29,人工智能开发工程师,人工智能,35000.0,上海科络达云软件技术有限公司,上海,3.0,本科,、负责大数据相关应用算法的设计、研发与产品化；任职资格：1、计算机科学与技术或相关专业学士学位，硕士、博士学位更佳； 2、在数据挖掘、机器学习等领域中有相关工作经验； 3、对决策树、逻辑回归、支持向量机，贝叶斯方法、降维，聚类，人工神经网络相关的算法均有所了解，并至少对一种有实际应用经验；4、对大数据计算平台相关的技术比较深入了解，并有实际应用经验。职能类别：										算法工程师									关键字：大数据人工智能,0.0,0.0,0.0,0.0,0.0,0.0,0.0
