,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Web,Css,Html,Javascript,Js,Jquery
20,前端开发工程师,前端开发,12500.0,上海海万信息科技股份有限公司,佛山,3.0,大专,岗位职责：1、前端Web独立项目部署，前端代码开发2、根据项目需求，按时完成相关产品界面代码设计和功能开发工作3、扎实的代码规范和良好的框架设计思路4、前端开发资源优化，保证兼容性和执行高效性5、负责网站Web前端数据读取，数据绑定，功能交互，功能实现  6、关注技术细节，并能根据业务需求和相关数据，提出技术和架构上的改进；  7、熟悉金融行业业务开发者优先。任职要求：1、大学统招本科及以上学历，计算机及相关专业；2、3年以上（含3年）以上相关工作经验，有一定的项目管理和带团队的经验；3、熟练掌握vuejs/vue-router/vuex技术栈开发4、熟练掌握webpack构建工具的使用并有实际项目开发经验  5、熟练运用JavaScript，对JavaScript的作用域、闭包、ES6新语法、前端模块化、组件化等有深入理解6、具有娴熟的沟通技巧，执行力强，具有优秀的团队合作精神、敬业精神；7、至少熟悉jQuery、Vue、node.js等1门前端语言8、有银行经验或者电营系统者优先。,1.0,0.0,0.0,1.0,1.0,1.0
21,高级前端开发工程师,前端开发,16000.0,杭州云树网络科技有限公司,杭州,5.0,大专,、独立完成公司B/S系统的功能模块编码；2、参与公司前端框架的编写和整合；3、参与与服务端开发人员的集成调试；4、相关开发文档的整理与编写。岗位要求：1、熟练掌握JavaScript与CSS技术，至少2年以上Web前端开发经验；2、熟练掌握HTML、CSS、XHTML、XML等编写技能；3、精通jQuery，能自行编写基于jQuery的各种插件；4、熟练掌握常用前端框架中的一种或多种，如AngularJS，Vue，avalon，Kendo UI；5、熟悉Mvvm框架设计，对双向绑定机制有深入了解。6、有web后端开发经验者优先,1.0,1.0,1.0,1.0,0.0,1.0
22,Web前端开发工程师,前端开发,6250.0,流光星际（湖北）科技有限公司,恩施,0.0,大专,收到面试通知后请再次认真浏览本招聘信息要求及办公司介绍后按以下说明参与面试，应聘者携带本人身份证、个人简历、典型作品案例应聘地点：湖北省恩施市舞阳坝街道金子坝柑子槽小区2期4巷74号-绿庄建设5楼应聘流程：审核证件———面试交流（简历-作品）——进入试用工作要求:1、工作经验2年以上2、熟练使用HTML5+CSS3以及vue框架，熟悉uni-app者优先3、有作品者优先4、再次敲黑板：招聘会vue的小伙伴。另愿意学习的小伙伴我们愿意提供学习帮助和指导，学习期间工资照算。附：上班时间：早上8:30-12:00  下午2:30-6：00月选休4公司地点：湖北省恩施市，外地员工来恩施工作的车费由公司承担，（试用期通过成为正式员工后的***个月的工资一同发放。）员工福利：五险，管吃管住，高薪，定期体检，7小时工作制！ 办公设施：全新I7 8700+GTX1660+500G固体硬盘。恩施市拿此配置电脑来敲代码绝对是凤毛麟角。三餐伙食：包三餐，除早餐外，中下午10个菜左右，荤素搭配。掌勺的大师傅人超好，是恩施当地从业十余年的专业土家族厨师。想吃什么跟大师傅讲。职能类别：										Web前端开发																			软件工程师									关键字：webvueuniappvue框架,1.0,1.0,1.0,0.0,0.0,0.0
23,Web前端开发工程师,前端开发,12500.0,软金商贸（深圳）有限公司,深圳,3.0,大专,、熟练运用Web前端技术，包括XHTML、XML、CSS、JavaScript、jQuery、Ajax等；2、熟练使用VueJS开发，具有原生APP混合、纯H5和PC三端至少2端的前端开发经验。熟悉主流框架React、Angular其中一个；3、对浏览器兼容性、前端安全防范、响应式布局有实践经验；4、熟悉模块化开发，以及MVC、MVVM等开发模式；5、熟悉ES6/ES7标准，熟悉Less/Sass等；6、了解nodejs、npm，熟练使用webpack；7、有很强的自学及研究能力、良好的学习和沟通能力，对技术有激情和追求；8、有消息推送和长连接处理经验可以加分。9、有互联网公司经验；10、全日制统招本科，计算机相关专业毕业；11、经验不能低于2年；12、跳槽太频繁不接受；待遇：10-15K1、购买社保2、法定节假日带薪休假（包括年假、婚假等）3、除基本工资外，每月还定期进行绩效考核评比并发放绩效奖金，另有年终奖及其他多项奖励； 4．公司已建立完善的绩效考核体系，优秀员工每年定期有评级晋升加薪机会。,1.0,1.0,0.0,1.0,0.0,1.0
24,前端开发工程师,前端开发,9500.0,火眼科技有限公司,重庆,3.0,本科,岗位职责：1、 开发文档的编写；2、 参与软件系统需求调研和分析，参与软件设计方案撰写；3、 配合UI设计师的设计图制作HTML页面，可以轻松应对结构复杂的html 页面编码工作；4、 确保多浏览器页面的兼容性；5、 协助测试工程师完成软件的测试以及系统交付工作，对项目实施提供支持 ；6、 领导安排的其他工作。任职要求：1、有两年以上的前端开发工作经验；2、熟悉css和css3，熟悉html的dom结构，快速完成html页面；3、熟悉原生javascript，熟悉主流框架：jquery，Bootstrap ；4、熟悉vue或react前端框架的开发，熟悉W3C 标准和各主流浏览器在前端开发中的差异；5、良好的编码习惯，勇于承担工作压力，具备良好的责任心和团队合作能力；6、对于在前端开发性能优化，快速开发页面有自己想法的优先考虑。,0.0,1.0,1.0,1.0,0.0,1.0
25,高级前端开发工程师,前端开发,17500.0,广州广大通电子科技有限公司,广州,3.0,本科,、参与前端基础工具及框架的设计与实现3、对具体的产品进行性能优化，实现良好的页面加载、执行和渲染4、配合后台工程师一起研讨技术实现方案，进行应用系统的优化及整合5、完成项目文档的编写工作任职要求：1、3年以上Web前端开发经验，至少完整经历过一个产品的开发、上线、维护工作，对Web开发有整体认识2、精通JavaScript，熟悉常见的前端框架3、精通ES6，对前端工程化有一定了解，熟练掌握webpack/git/npm/Grunt/Gulp等构建工具的使用和配置4、掌握HTML、css等前端相关技术，熟悉LESS、SASS5、能对具体的产品进行性能优化，实现良好的页面加载、执行和渲染6、拥有良好的主动性与推动力，优秀的分析问题和解决问题的能力职能类别：										其他																			软件工程师									关键字：前端架构,1.0,1.0,1.0,1.0,0.0,0.0
26,前端开发（页面构造+切片））,前端开发,7000.0,湖南新环境房地产经纪连锁有限公司,长沙,0.0,大专,"【工作职责】1.与设计师、产品工程师紧密工作在一起,实现产品前端ui和交互方面的开发需求，确保不同平台、设备上具有优秀的用户体验；2.能充分理解项目需求和设计需求，具有一定研发精神，能解决各种未知问题；3.与团队成员分享经验和新技术，帮助团队成长。【职位要求】1.聪明，计算机基本功扎实，精通Javascript、AJAX、HTML、CSS等技术；2.能够写出高性能、高可维护性的“优美”的代码 ；3.成功开发过中大型Web应用程序；4.了解一门服务器编程语言如python/php等；5.熟悉各种浏览器平台的特性，能够很好地解决兼容问题；6.工作经验一年以上。",1.0,1.0,1.0,1.0,0.0,0.0
27,Web前端开发工程师（南通）,前端开发,7000.0,上海琪邦国际货运代理有限公司,南通,1.0,无,"职位描述：1.熟练掌握css＋div的运用与制作，熟悉HTML/CSS/javascript等并能熟练手工编辑修改HTML源代码，熟悉网站建设的流程和网页设计制作流程；2.精通Photoshop,Flash,Dreamweaver等网页设计美工软件；3.具有良好的创意设计能力，对色彩敏感，具有把握不同风格页面的能力；4.具有团队合作精神、敬业精神，细致专注，学习能力强，能承受工作压力；5.1年以上网页设计实际工作经验；工作职责：1.配合技术部完成客戶网站的开发和制作2.负责客戶网站规划建设和日常维护更新",0.0,1.0,1.0,1.0,0.0,0.0
28,Web前端开发工程师,前端开发,5000.0,重庆北开科技有限公司,重庆,1.0,无,"职位信息：1、与项目经理协作,分析并给出最优的前端结构解决方案和效果实现;2、负责项目前端页面以及所有js的开发及维护；3、负责协助设计、后台开发人员配合完成项目调试及修改；4、协助完成项目的测试、系统交付工作，对项目实施提供技术支持 职位要求1、1年以上前端开发经验，互联网相关从业经验者优先；2、熟练掌握Javascript、ES6，熟练掌握vue.js、react或者angular，精通者优先；3、熟练使用各种调试、抓包工具,能独立分析、解决和归纳问题4、具有性能优化经验，熟悉前端自动化和工程化，熟练使用Git。对前端性能优化、解决多浏览器兼容性问题有丰富的经验和案例；5、有GIS项目开发经验优先；6、对用户体验、交互操作流程、及用户需求有一定了解，有独立的审美观。",0.0,0.0,0.0,1.0,1.0,0.0
29,Web前端开发工程师,前端开发,14583.33,广州法傲电子科技有限公司,广州,2.0,本科,"岗位职责：1、 负责与产品经理沟通，将网页效果图开发成HTML代码；2、 前端页面制作、优化，以及JS互动效果实现；3、  调试网站页面在不同浏览器下的兼容性；任职资格：1、 2年以上互联网前端开发经验；2、 会使用Vue前端框架3、 精通JavaScript、Ajax等Web开发技术；4、 精通HTML/XHTML、CSS等网页制作技术，熟悉页面架构和布局；5、 精通JS语言，熟练的使用JS完成各种效果，熟练使用至少一种JS开发库，如jQuery,ExtJS,dojo等；6、 有开发 HTML5 前端的经验，熟悉应用最新的 HTML5 新的标准，熟悉与服务器端API的交互，熟悉Json，了解HTML5最新规范，能够熟练运用HTML5特性构建移动端的WebApp7、 有html5、JavaScript开发经验者优先8、 责任心强、工作踏实、能承受一定的工作压力，能接受加班。",1.0,1.0,1.0,1.0,1.0,1.0
30,Web前端开发工程师,前端开发,10000.0,北京芬香科技有限公司,北京,2.0,大专,任职要求1、统招专科及以上学历，1~3年开发经验； 2、精通vue框架，能独立开发常用组件，熟悉git相关操作； 3、精通小程序、公众号开发，并有实际上线的项目；4、熟练使用 es6、less、sass、H5、css3 等前端技术； 5、精通原生js，研究过jQuery或vue框架底层代码加分； 6、注重代码优化，有轻微代码洁癖加分7、有nodejs 相关工作经验加分8、有flutter 等多端应用开发经验加分9、有良好的产品意识，注重用户体验； 10、有良好的沟通能力，善于学习，喜欢钻研新技术。,0.0,1.0,0.0,0.0,1.0,1.0
31,Web前端开发工程师,前端开发,17500.0,苏州赫斯威电子有限公司,嘉兴,5.0,无,"、 计算机软件相关专业大专以上学历，有5年及以上的项目开发经验；    2、 精通.NET、C#、ASP.NET MVC等技术，有.NET core项目经验；    3、 精通SQL server，MySQL数据库，熟悉数据库设计及优化技术，并具备相关安全知识；    4、 熟悉web前端相关的技术html,css3,javascript,jQuery、Bootstrap、VUE等。    5、 精通面向对象设计开发，熟悉分布式开发，有高并发，高可用经验者优先；    6、 技术能力强，自我学习能力强,对技术发展具有良好的理解能力，能够迅速掌握新技术，能够在短时间内攻克技术难关；    7、 有良好的技术文档习惯，具有规范化标准化的代码编写习惯；    8、 善于与他人沟通、合作，具有团队精神，良好的自学能力、严密的思维能力，反应敏捷，应变力强，责任心强，能承受较大的工作压力；",1.0,1.0,1.0,1.0,0.0,1.0
32,前端开发负责人,前端开发,20000.0,南京卫岗乳业有限公司,南京,3.0,本科,"岗位职责 1. 根据产品需求开发相关的移动端产品； 2. APP开发和升级维护等相关工作； 3. 负责web前端和webapp端设计和开发； 4. 优化测序性能，设计、开发和发布应用程序等。 5. 与设计师、产品工程师紧密工作在一起，负责产出高质量的产品前端层； 6. 至少1年以上团队管理经验； 任职要求 1. 2年以上iOS平台开发经验，熟练掌握Object-C，熟悉Swift，精通iOS内存管理机制； 2. 2年以上web及H5应用程序开发经验，至少1年web站点的实际开发经历； 3. 熟练掌握一种以上js框架Vue或是React 技术栈，了解 webpack的使用和原理,对http协议有一定理解； 4. 通过前端自动化构建工具和测试工具，对现有模块进行完整构建和测试； 5. 精通移动类应用开发框架，能独立或与团队合作开发高性能的应用； 6. 设计和实现面向开发者的平台套件和功能组件；",1.0,0.0,0.0,0.0,1.0,0.0
