,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Java,Mysql,Web,Linux,Redis,Spring,Sql,Javascript,Python,Php
20,广告后端开发工程师,后端开发,20000.0,深圳云上推科技有限公司,深圳,2.0,本科,"云上推正和国内一线手机厂商（如：华为、oppo、vivo、小米等）共同打造一站式广告投放平台，包括搜索推广、信息流推广、品牌推广等 ，满足广告主、合作伙精准投放广告、精细化管理的需求。在技术上，致力于解决分布式、高并发、大数据量等带来的技术难题及挑战，构建和持续优化底层基础架构和基础服务，保证高可靠、高性能、高可扩展性快速支撑各项新业务。岗位诱惑负责RTB广告投放平台研发，技术挑战和成长空间巨大，RTB广告将成为公司业务的重要组成部分；拥有全多样化的技术交流途径和分享机会，团队技术氛围浓厚。岗位职责1、负责RTB广告后台系统研发及技术架构规划与设计，支持广告业务快速发展；2、参与基础平台架构设计开发与优化，分布式中间件设计与开发；3、参与解决海量商业数据分布式处理、高效即席查询、数据一致性、准确性等方面带来的各种技术难题和挑战。任职条件1、高校计算机或相关专业本科及以上学历，2年以上工作经验, 有互联网产品开发经验优先；；2、精通编程，熟悉常用开源框架、设计模式及多线程开发，熟悉性能优化、对架构设计有一定理解和实践经验者优先；3、熟悉分布式中间件等相关技术，熟悉相关源码或具备一定中间件设计经验优先；4、熟悉Hadoop//Hive/HBase/Kafka/Spark等一项或多项大数据处理技术，具有较丰富的大数据开发经验；5、强烈的责任心，对技术充满热情，有较强的沟通能力和分析解决问题的能力。",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,.NET ERP 后端开发工程师,后端开发,23000.0,上海聚水潭网络科技有限公司,上海,3.0,大专,岗位职责：1，参与公司产品的设计与开发编码工作2，参与公司重点项目的设计与开发编码工作岗位要求：1，3年以上.NET开发经验、精通.NET框架相关知识，精通C#语言2，熟悉Javascript脚本语言，能够熟练使用Jquery3，熟悉SQL SERVER，能够使用SQL语言进行基本的查询，有SQL编程经验4，具备一定的数据库设计及面向对象抽象设计能力5，有ERP开发实施或电商行业背景优先,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
22,后端开发工程师,后端开发,12500.0,安克创新科技股份有限公司,长沙,5.0,本科,"、负责软件设计、核心重要模块开发,有很强的质量意识,主导核心代码开发;2、负责需求、设计中相关文档编写;3、编写制订各项技术方案;4、负责较高难度的需求分析'5、指导、培训中初级工程师、新员工; 6、解决项目中技术难题,;7、参与系统稳定性、性能和扩展性测试。岗位要求：1、有扎实的软件理论基础,深刻理解面向对象编程,良好的面向对象分析设计能力;2、有5年以上大中型项目开发经验并持续至今,其中3年以上基于J2EE架构大型应用系统的模块设计开发经验;3、精通JAVA  语言,有良好的编程习惯,掌握SpringMVC,Mybatis,Spring,Hibernate等开发框架原理,;4、精通/具备MYSQL、ORACLE等数据库使用及设计,开发经验丰富者优先,;5、精通UML,熟练掌握UML设计工具,有良好文档编写习惯;6、可承受较大的工作压力,有团队意识和钻研精神;7、有项目管理经验优先,有互联网系统开发经验的优先,有工作流开发经验的优先。",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,后端开发工程师,后端开发,12500.0,西安舟济网络科技有限公司,成都,0.0,大专,职位要求：1、精通 node.js，熟练使用 express 等框架；2、熟悉 MySQL、nginx等后台技术，熟悉Linux部署和维护；3、熟练使用 redis 或 memcached；4、非常强的学习能力和吃苦精神。福利待遇:1、一旦录用，入职提供免费体检；2、入职即购买五险一金；3、年终双薪；4、上班时间：9：30-12：00，13：30-17：30，周末双休；5、包吃或者餐补二选一，住房补贴；6、节日福利、生日福利。,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
24,后端开发工程师,后端开发,7500.0,广州新远扬实业发展有限公司,普洱,1.0,本科,、负责后端程序的架构设计和优化；2、负责后端新需求的系统设计和实现。任职要求：1、本科及以上学历，有1-5年的互联网后端开发经验；2、精通Golang、Python中至少一门语言，能够熟练使用业务语言快速实现需求；3、良好的文档编写能力和故障排查能力，工作细心，较强的责任感和抗压能力；4、有过复杂系统开发经验优先，如ERP/CRM/电商订单管理类业务等；5、熟悉人工智能领域者优先。6、熟练掌握数据库、应用软件的特性及应用。（此岗位外派至云南工作）职能类别：										软件工程师																			数据库工程师/管理员									关键字：数据库系统设计人工智能GolangPython后端开发,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,Web后端开发工程师,后端开发,9000.0,星逻智能科技（苏州）有限公司,上海,0.0,大专,"一、岗位职责：1. 系统接口和网站功能编码与维护、性能优化；2、数据库的设计、开发、管理、优化；3、技术文档的编写；二、任职要求：1. 大专及以上学历，计算机、电子、电气、自动化等相关专业；2. 熟悉基于BS架构的UI设计及Web后端开发经验（PHP 或 JSP）；3. 了解解HTTP,TCP,UDP,COAP,MQTT通信协议2种及以上；4. 熟悉一种以上关系型数据库的使用（如：Oracle、MySQL等）；5. 熟悉HTML/CSS/JavaScript/Ajax 等前端开发技术者优先；6. 有网站后台开发经验者优先；7. 具有较强的学习能力与动手能力，较强的沟通协调能力，较好的团队合作精神；三、福利：1. 年终1-3个月绩效奖金；2. 享受上海临港人才公寓与住房补贴双重政策；3. 公司包午餐和加班晚餐福利；4. 优秀员工期权激励。",0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
26,Python 后端开发工程师(J11843),后端开发,14000.0,绿盟科技,西安,2.0,本科,工作职责:1、负责 SaaS 网站安全监测服务产品开发；2、参与网站安全监测产品架构设计工作；任职资格:1、教育程度：大学本科及以上学历，计算机、电子、自动化等相关专业；2、熟练掌握 Python；3、熟悉 Restful API 开发；4、熟悉 Python Web 框架，比如：Django / Flask / Tornado 等任意一种；5、熟悉安全产品和 SaaS 服务产品特点和运作运维方式；6、使用过公有云，对云平台相关技术有一定了解，有Docker相关技术有实践经验优先；7、具备团队合作精神，积极的工作态度和较强的责任心，良好的沟通和学习能力。加分项：对信息安全感兴趣并有相关的研究有爬虫，页面篡改开发等工作经验熟练掌握机器学习算法原理对网络感兴趣，了解路由交换等网络技术对HTTP协议有深入理解理解分布式系统,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27,Web后端开发工程师,后端开发,9000.0,麦道传媒股份有限公司,广州,3.0,大专,"岗位职责：1.负责公司用户的后端服务开发以及评审工作；2.与前端工程师配合，商定数据接口，提供数据操作等3.负责与合作公司系统以及接口等技术对接。任职要求：1.至少精通Go、Java、.Net、PHP等主流编程语言中的一种，尤其使用它们做过Web服务；2.熟悉常用数据库：MySQL、MongoDB、Redis等，并具有较好的SQL优化知识;3.熟悉常用的数据结构和算法,有良好的编程风格；良好的算法基础和清晰的编程思路;4.对分布式计算，分布式存储的架构设计理念和动机有一定理解;5.熟悉多进程、多线程等系统级知识，并熟悉TCP/UDP、HTTP等协议，有大规模、高并发的项目工作经验优先考虑;6.了解互联网产品开发模式及常用架构，有实际移动互联网产品开发经验.4、掌握一种或多种后端开发语言（Java、Python、PHP等）者优先；5、三年或以上JS开发工作经验，熟悉mui,element-ui,jquery,vue等常用的H5框架，具备H5、CSS3开发技术，有响应式页面开发经验。",1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
28,JS后端开发工程师(node.js),后端开发,12500.0,上海悟途信息科技有限公司,上海,0.0,本科,* 负责产品后端模块的开发、测试和维护* 跟用户紧密沟通，收集反馈，实现产品特性的快速迭代岗位要求：* 熟练使用 Node.js 开发* 熟练使用 Express、 Koa、Request、Mysql 等常用框架* 掌握 Git 版本控制工具* 掌握 Mysql 数据库使用* 了解 Web 相关的标准* 熟悉 Linux / Unix 操作系统,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,后端开发工程师,后端开发,10500.0,太美医疗系统,嘉兴,0.0,大专,岗位需求：1、3年以上工作经验（优秀者条件可放宽）。2、有过丰富的后端研发经验优先。3、有过大中小型后端项目的开发、迭代经验。技术要求:1、至少有3年以上管理软件开发经验具有一定的需求分析和系统设计经验；2、精通掌握ASP.NET、C#、Webform（B/S）编程，精通MS Visual Studio2017开发环境；3、良好的编码风格和编程习惯；4、熟练使用SQL语言，熟悉SQL Server数据库；5、最好了解存储过程、触发器、函数等数据库开发概念；6、熟练使用Web开发相关的HTML/CSS/Javascript/Jquery脚本；7、要有较强的团队沟通能力、学习能力；8、要有很好的组织工作纪律性、个人职业素养；9、具备良好的软件设计能力及编程习惯,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
